"ID","start_time","completion_time","major","active_mobility","home_campus","frequency_visiting_canteen","staff_response","friendly_staff","quick_response_staff","order_waiting_time","payment_method","smooth_payment","clear_menu_info","clean_area","cozy_room_layout","neat_furniture_placement","clean_utensils","cleaning_facility","proper_table_chair","cozy_seating_area","menu_variety","healty_menu","freshness_menu","taste_match_price","affordable_price","price_vs_quality"
82,2025-04-26 15:02:30,2025-04-26 15:09:13,"computer science","iya","campus s","0 kali","setuju","setuju","setuju","setuju","sangat setuju","sangat setuju","tidak merasakan","setuju","setuju","tidak setuju","setuju","tidak merasakan","sangat setuju","sangat setuju","sangat setuju","sangat setuju","setuju","setuju","tidak setuju","tidak setuju"
83,2025-04-26 15:06:38,2025-04-26 15:09:48,"computer science","iya","campus m","1-2 kali","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju"
84,2025-04-26 15:10:25,2025-04-26 15:12:14,"information systems","iya","campus s","1-2 kali","setuju","setuju","setuju","setuju","sangat setuju","setuju","sangat setuju","sangat setuju","setuju","setuju","setuju","sangat setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju"
85,2025-04-26 15:09:52,2025-04-26 15:17:29,"computer science","iya","campus m","1-2 kali","tidak merasakan","tidak merasakan","sangat setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","tidak setuju","setuju","tidak setuju","setuju","setuju","setuju","setuju","sangat tidak setuju","tidak setuju"
86,2025-04-26 15:32:58,2025-04-26 15:33:59,"computer science","iya","campus s","0 kali","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan"
87,2025-04-26 15:31:55,2025-04-26 15:34:51,"computer science","iya","campus s","0 kali","tidak merasakan","setuju","setuju","setuju","sangat setuju","sangat setuju","sangat setuju","tidak merasakan","tidak merasakan","tidak setuju","tidak merasakan","tidak setuju","setuju","setuju","setuju","tidak merasakan","setuju","tidak merasakan","tidak merasakan","tidak merasakan"
88,2025-04-26 15:34:23,2025-04-26 15:35:32,"computer science","iya","campus s","0 kali","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan"
89,2025-04-26 15:45:02,2025-04-26 15:50:35,"computer science","iya","campus s","1-2 kali","tidak merasakan","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","tidak setuju","setuju","tidak setuju","setuju","setuju","tidak merasakan","setuju","tidak merasakan","tidak merasakan","tidak setuju","setuju"
90,2025-04-26 15:50:40,2025-04-26 16:00:42,"computer science","iya","campus s","1-2 kali","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","tidak merasakan","setuju","setuju","setuju","tidak merasakan","setuju"
91,2025-04-26 16:58:39,2025-04-26 17:02:23,"computer science","iya","campus m","3-4 kali","tidak merasakan","setuju","tidak setuju","setuju","tidak setuju","setuju","tidak setuju","setuju","setuju","sangat setuju","tidak setuju","setuju","sangat setuju","sangat setuju","setuju","tidak setuju","setuju","setuju","setuju","setuju"
92,2025-04-26 17:35:53,2025-04-26 17:38:44,"computer science","iya","campus s",">4 kali","sangat setuju","sangat setuju","sangat setuju","setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","setuju","sangat setuju"
93,2025-04-26 17:34:38,2025-04-26 17:47:26,"computer science","iya","campus s","3-4 kali","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju"
94,2025-04-26 16:40:41,2025-04-26 17:53:59,"computer science","iya","campus s","1-2 kali","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","tidak setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju"
95,2025-04-26 17:51:11,2025-04-26 17:54:34,"computer science - software engineering","iya","campus s","3-4 kali","setuju","sangat setuju","setuju","setuju","sangat setuju","sangat setuju","setuju","sangat setuju","tidak merasakan","setuju","tidak merasakan","tidak merasakan","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju"
96,2025-04-26 17:57:15,2025-04-26 18:02:20,"computer science","iya","campus s","3-4 kali","setuju","setuju","setuju","tidak merasakan","setuju","sangat setuju","sangat setuju","setuju","setuju","tidak setuju","tidak merasakan","tidak setuju","tidak merasakan","setuju","tidak merasakan","tidak merasakan","tidak merasakan","setuju","setuju","setuju"
97,2025-04-26 18:10:56,2025-04-26 18:13:40,"computer science","iya","campus s","1-2 kali","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","tidak merasakan","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju"
98,2025-04-26 18:12:09,2025-04-26 18:15:05,"computer science","iya","campus s","1-2 kali","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju"
99,2025-04-26 18:20:11,2025-04-26 18:23:50,"interior design","iya","campus b",">4 kali","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju"
100,2025-04-26 18:23:22,2025-04-26 18:26:10,"computer engineering","iya","campus b","1-2 kali","tidak merasakan","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","tidak setuju","tidak setuju","setuju"
101,2025-04-26 18:38:31,2025-04-26 18:41:03,"cyber security","iya","campus b","3-4 kali","tidak merasakan","setuju","setuju","setuju","sangat setuju","sangat setuju","sangat setuju","setuju","setuju","tidak setuju","sangat setuju","setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","setuju","setuju","setuju"
